embedding 4635922 of 4635922 from row 0
  25600/4635922  346 docs/s  222 min left
  51200/4635922  281 docs/s  272 min left
  76800/4635922  241 docs/s  315 min left
  102400/4635922  232 docs/s  326 min left
  128000/4635922  225 docs/s  334 min left
  153600/4635922  221 docs/s  338 min left
  179200/4635922  218 docs/s  341 min left
  204800/4635922  216 docs/s  342 min left
  230400/4635922  215 docs/s  342 min left
  250000/4635922  214 docs/s  342 min left
  275600/4635922  213 docs/s  341 min left
  301200/4635922  211 docs/s  342 min left
  326800/4635922  210 docs/s  343 min left
  352400/4635922  209 docs/s  341 min left
  378000/4635922  209 docs/s  340 min left
  403600/4635922  209 docs/s  337 min left
  429200/4635922  209 docs/s  335 min left
  454800/4635922  209 docs/s  333 min left
  480400/4635922  209 docs/s  331 min left
  500000/4635922  209 docs/s  330 min left
  525600/4635922  209 docs/s  328 min left
  551200/4635922  209 docs/s  326 min left
  576800/4635922  209 docs/s  324 min left
  602400/4635922  209 docs/s  322 min left
  628000/4635922  209 docs/s  320 min left
  653600/4635922  209 docs/s  318 min left
  679200/4635922  208 docs/s  316 min left
  704800/4635922  208 docs/s  314 min left
  730400/4635922  208 docs/s  313 min left
  750000/4635922  208 docs/s  311 min left
  775600/4635922  208 docs/s  309 min left
  801200/4635922  208 docs/s  307 min left
  826800/4635922  208 docs/s  305 min left
  852400/4635922  208 docs/s  304 min left
  878000/4635922  208 docs/s  302 min left
  903600/4635922  208 docs/s  300 min left
  929200/4635922  208 docs/s  298 min left
  954800/4635922  208 docs/s  295 min left
  980400/4635922  208 docs/s  293 min left
  1000000/4635922  208 docs/s  291 min left
  1025600/4635922  210 docs/s  287 min left
  1051200/4635922  212 docs/s  282 min left
  1076800/4635922  214 docs/s  277 min left
  1102400/4635922  216 docs/s  273 min left
  1128000/4635922  218 docs/s  268 min left
  1153600/4635922  220 docs/s  264 min left
  1179200/4635922  221 docs/s  260 min left
  1204800/4635922  223 docs/s  256 min left
  1230400/4635922  225 docs/s  253 min left
  1250000/4635922  226 docs/s  250 min left
  1275600/4635922  228 docs/s  246 min left
  1301200/4635922  229 docs/s  243 min left
  1326800/4635922  231 docs/s  239 min left
  1352400/4635922  232 docs/s  236 min left
  1378000/4635922  234 docs/s  233 min left
  1403600/4635922  235 docs/s  229 min left
  1429200/4635922  236 docs/s  226 min left
  1454800/4635922  237 docs/s  223 min left
  1480400/4635922  239 docs/s  220 min left
  1500000/4635922  240 docs/s  218 min left
  1525600/4635922  241 docs/s  215 min left
  1551200/4635922  242 docs/s  212 min left
  1576800/4635922  243 docs/s  210 min left
  1602400/4635922  244 docs/s  207 min left
  1628000/4635922  245 docs/s  204 min left
  1653600/4635922  246 docs/s  202 min left
  1679200/4635922  247 docs/s  199 min left
  1704800/4635922  249 docs/s  197 min left
  1730400/4635922  250 docs/s  194 min left
  1750000/4635922  250 docs/s  192 min left
  1775600/4635922  251 docs/s  190 min left
  1801200/4635922  252 docs/s  188 min left
  1826800/4635922  253 docs/s  185 min left
  1852400/4635922  254 docs/s  183 min left
  1878000/4635922  255 docs/s  181 min left
  1903600/4635922  255 docs/s  178 min left
  1929200/4635922  256 docs/s  176 min left
  1954800/4635922  257 docs/s  174 min left
  1980400/4635922  258 docs/s  172 min left
  2000000/4635922  258 docs/s  170 min left
  2025600/4635922  259 docs/s  168 min left
  2051200/4635922  260 docs/s  166 min left
  2076800/4635922  261 docs/s  164 min left
  2102400/4635922  262 docs/s  161 min left
  2128000/4635922  262 docs/s  159 min left
  2153600/4635922  263 docs/s  157 min left
  2179200/4635922  264 docs/s  155 min left
  2204800/4635922  265 docs/s  153 min left
  2230400/4635922  265 docs/s  151 min left
  2250000/4635922  266 docs/s  149 min left
  2275600/4635922  267 docs/s  147 min left
  2301200/4635922  267 docs/s  145 min left
  2326800/4635922  268 docs/s  144 min left
  2352400/4635922  269 docs/s  142 min left
  2378000/4635922  270 docs/s  140 min left
  2403600/4635922  270 docs/s  138 min left
  2429200/4635922  271 docs/s  136 min left
  2454800/4635922  272 docs/s  134 min left
  2480400/4635922  272 docs/s  132 min left
  2500000/4635922  273 docs/s  131 min left
  2525600/4635922  273 docs/s  129 min left
  2551200/4635922  274 docs/s  127 min left
  2576800/4635922  275 docs/s  125 min left
  2602400/4635922  275 docs/s  123 min left
  2628000/4635922  276 docs/s  121 min left
